Nombre y tensión del nudo;Código de subestación;Comunidad Autónoma;POSICIONES;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;CRITERIO ESTÁTICO DEMANDA;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;CRITERIO DINÁMICO 1;CRITERIO DINÁMICO 2;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO Y PENDIENTE DE RESOLVER;;MARGEN CAPACIDAD DE ACCESO TOTAL PARA CONEXIÓN A LA RDT;;;;;CRITERIOS LIMITANTES;;;;;CAPACIDAD DE ACCESO NO OTORGABLE EN RDT;;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES CRITERIO GENERAL;;;;;Nudo de concurso;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;Gen/Alm a la red de transporte;;Consumo a la red de transporte;;A red de distribución;;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Limitaciones temporales de acceso por configuración de la subestación;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Margen no ocupado;Margen no ocupado;Capacidad de acceso para consumo en la RdD (valor de referencia);Estado acuerdo sobre capacidad de acceso para consumo en la RdD (valor de referencia);Capacidad de acceso otorgada a demanda adicional al valor de referencia;Capacidad de acceso otorgada demanda CEP con afección a WSCR;Capacidad de acceso otorgada demanda RdT;Capacidad de acceso demanda con aceptabilidad RdD;Capacidad de acceso demanda con aceptabilidad RdD no incluida en el valor de referencia;Capacidad de acceso otorgada almacenamiento adicional al valor de referencia;Capacidad de acceso otorgada almacenamiento RdT;Capacidad de acceso almacenamiento con aceptabilidad RdD;Capacidad de acceso  almacenamiento con aceptabilidad RdD no incluida en el valor de referencia;Capacidad de acceso otorgada demanda CH RdT;Capacidad de acceso otorgada demanda SH RdT;Capacidad de acceso CH con aceptabilidad en RdD;Capacidad de acceso SH con aceptabilidad en RdD;Capacidad de acceso solicitada en curso y pendiente resolver demanda RdT;Capacidad de acceso solicitada en curso y pendiente resolver almacenamiento RdT;DEMANDA;;;ALMACENAMIENTO;;DEMANDA;;;ALMACENAMIENTO;;DEMANDA;;;ALMACENAMIENTO;;Motivo capacidad no otorgable en RdT;DEMANDA;;;ALMACENAMIENTO;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CEP;;NO CEP;CEP (MPE);NO CEP (MGES);CEP;;NO CEP;CEP (MPE);NO CEP (MGES);CEP;;NO CEP;CEP (MPE);NO CEP (MGES);;CEP;;NO CEP;CEP (MPE);NO CEP (MGES);;
;;;E;P;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CH;SH;;;;CH;SH;;;;CH;SH;;;;;CH;SH;;;;;
ALMADEN 400;51411;Castilla-La Mancha;;;;;;;548; N/A ;  ;548;722;N/A;707;No ;987;N/A;972;1257;0;0;N/A;15;0;15;0;0;0;0;0;0;15;0;0;0;0;0;548;0;707;972;972;WSCR_Nudo;Din2_Zona;Est_Dem_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;0;;548;0;707;972;972;;
ALMARAZ CN 400;50027;Extremadura;2;1;;;;;1.369; N/A ;  ;1.154;1992;N/A;1777;No ;3672;N/A;3063;0;0;0;N/A;215;215;215;0;0;394;394;0;0;0;215;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;;
ALMARAZ CN 220;50027;Extremadura;;;;;;;507; N/A ;  ;507;310;N/A;310;Si. Caso c);966;N/A;966;539;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;310;0;310;539;539;Est_Dem_Nudo;Din2_Zona;Est_Dem_Nudo;Din1_Zona;Din1_Zona;0;0;0;0;0;;310;0;310;539;539;;
ALMARAZ E.T. 220;50028;Extremadura;3;1;;;2;;218; N/A ;  ;218;382;E16_SEPE;;No;552;E16_SEPE;0;539;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;;
ALMAZAN 400;50029;Castilla y León;1;;;;1;;153; N/A ;  ;128;794;N/A;469;Si. Caso a);1874;N/A;1521;1226;0;300;SI;25;25;25;0;0;28;28;0;0;0;25;0;0;0;0;128;0;469;1226;1226;WSCR_Nudo;Din2_Zona;Est_Dem_Nudo;Din1_Zona;Din1_Zona;0;0;0;0;0;;128;0;469;1226;1226;;
ALMENDRALES 400;51416;Aragón;2;3;;;;;737; N/A ;  ;737;0;N/A;0;Si. Caso a);609;N/A;609;0;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Est_Dem_Nudo/Din1_Zona;Est_Dem_Nudo/Din2_Zona;Est_Dem_Nudo/Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;;
ALMODOVAR DEL RIO 220;50030;Andalucía;;1;;;;;212; N/A ;  ;212;44;E285_SEPE, E404_SEPE;;No;425;E285_SEPE, E404_SEPE;0;1113;0;0;N/A;45;0;45;0;0;142;142;0;0;45;0;0;0;0;50;;;;;;;;;;;;;;;;Valor de referencia no acordado en la zona estática. ;;;;;;;
AYALA (ALONSOTEGUI) 220;50031;País Vasco;;;;;1;;516; N/A ;  ;516;239;E9_SEPE;0;Si. Caso b);262;E9_SEPE;51;341;0;211;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;51;Est_Dem_Zona;Din2_Zona;Est_Dem_Zona;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;0;;0;0;0;51;51;;
ALVARADO 220;50032;Extremadura;1;;;;3;;156; N/A ;  ;156;674;E348_SEPE, E384_SEPE;137;No;750;E348_SEPE, E384_SEPE;341;1232;0;140;SI;0;0;0;0;0;68;68;0;0;0;0;0;0;0;0;137;0;137;341;341;Est_Dem_Zona;Din2_Zona;Est_Dem_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;0;;137;0;137;341;341;;
AMOEIRO 220;50033;Galicia;;;;;;;375; N/A ;  ;375;166;E173_SEPE;131;No;304;E173_SEPE;193;1265;0;0;N/A;35;0;35;0;0;0;0;0;0;35;0;0;0;0;0;131;0;131;193;193;Est_Dem_Nudo;Din2_Zona;Est_Dem_Nudo;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;0;;131;0;131;193;193;;
AMOREBIETA 400;50034;País Vasco;3;;;;;;835; N/A ; Riesgo interacciones ;835;411;E394_SEPE;192;No ;1452;E394_SEPE;1131;465;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;192;465;465;Est_Dem_Zona;Din2_Zona;Est_Dem_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;192;0;192;465;465;;
ANCHUELO 400;50035;Comunidad de Madrid;;1;;;;;430; N/A ;  ;224;1070;N/A;813;No ;2048;N/A;1792;0;0;0;N/A;257;206;257;0;0;0;0;0;0;51;206;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;;
ANCHUELO 220;50035;Comunidad de Madrid;;1;;;;;135; N/A ;  ;135;570;E275_SEPE;533;No;769;E275_SEPE;769;0;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;SI;
ANDRATX 66;50036;Islas Baleares;;;;;3;;35; N/A ; Riesgo interacciones ;35;49;N/A;;Si. Caso b);52;N/A;0;0;0;;NO;0;0;0;0;0;9;0;9;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;;
ANDUJAR 220;50037;Andalucía;;1;;;3;;469; N/A ;  ;469;115;N/A;;No;600;N/A;101;1261;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. ;;;;;;;
ANOIA 220;50038;Cataluña;;1;;;2;;118; N/A ;  ;63;239;N/A;109;No;252;N/A;122;751;0;75;SI;55;55;55;0;0;0;0;0;0;0;55;0;0;0;0;63;0;109;122;122;WSCR_Nudo;Din2_Zona;Est_Dem_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;0;;63;0;109;122;122;;
ANTAS 400;51369;Andalucía;;1;;;;;548; N/A ;  ;548;1657;N/A;1612;No ;2378;N/A;2333;652;0;0;N/A;45;0;45;0;0;0;0;0;0;45;0;0;0;0;0;548;0;652;652;652;WSCR_Nudo;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;548;0;652;652;652;;
ANTONIO LEYVA 220;50039;Comunidad de Madrid;;;;;3;;901; N/A ;  ;901;64;E199_SEPE, E374_SEPE;;No;531;E199_SEPE, E374_SEPE;0;0;0;;NO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;;
AÑOVER 220;50040;Castilla-La Mancha;;;;;;;652; N/A ;  ;652;50;N/A;8;Si. Caso b);425;N/A;383;0;0;0;N/A;43;0;43;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;;
APARECIDA 400;50041;Castilla y León;2;;;;;;245; N/A ;  ;245;725;N/A;724;No ;1770;N/A;1770;637;0;0;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;245;0;637;637;637;WSCR_Nudo;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;245;0;637;637;637;;
AQUA 220;50704;Comunidad Valenciana;;;;;4;;633; N/A ;  ;633;145;E184_SEPE, E340_SEPE;;No;536;E184_SEPE, E340_SEPE;0;1028;0;;NO;0;0;0;0;0;14;0;14;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;Valor de referencia no acordado. Valor de referencia no acordado en la zona estática. ;;;;;;;
ARAGON 400;50042;Aragón;3;;;;;;700; N/A ;  ;257;1655;E399_SEPE;226;No;3395;E399_SEPE;2477;0;0;0;N/A;444;444;444;0;0;100;100;0;0;0;444;0;0;395;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;;
ARAÑUELO 400;50043;Extremadura;1;;;2;;;942; N/A ;  ;942;2438;N/A;2416;No ;3091;N/A;3045;0;0;0;N/A;22;0;22;0;0;24;24;0;0;22;0;0;0;2970;0;0;0;0;0;0;Din1_Zona;Din2_Zona;Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;SI;
ARAVACA 220;50044;Comunidad de Madrid;;;;;3;;812; N/A ;  ;812;79;N/A;0;No;574;N/A;495;0;0;79;SI;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;Est_Dem_Nudo/Din1_Zona;Est_Dem_Nudo/Din2_Zona;Est_Dem_Nudo/Din1_Zona;Din1_Zona;Din1_Zona;0;0;0;0;0;;0;0;0;0;0;;
