#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ES|EXALC|38.6945|-0.4767|580.0|Alcoy (Alicante),Spain|2025-03-03T00:00:00|
ES|EXANT|37.0246|-4.5705|459.0|Antequera (Malaga),Spain|2022-10-27T00:00:00|
ES|EXAR|36.9578|-3.8938|918.0|Arenas del Rey (Granada),Spain|2002-02-12T00:00:00|
ES|EXARM|37.14221|-3.63191|677.8|Armilla (Granada),Spain|2023-10-16T00:00:00|
ES|EXAYA|37.2229|-7.4052|37.0|Ayamonte (Huelva),Spain|2017-11-23T00:00:00|
ES|EXBAR|36.1928|-5.9167|8.0|Barbate (Cadiz),Spain|2017-11-22T00:00:00|
ES|EXBNQ|42.60355|0.52936|1131.0|Benasque (Huesca),Spain|2023-06-28T00:00:00|
ES|EXBUL|38.0464|-1.6611|640.0|Bullas (Murcia),Spain|2015-07-15T00:00:00|
ES|EXCA|36.5234|-6.2845|12.0|Cadiz (Cadiz),Spain|2020-11-26T00:00:00|
ES|EXCA2|37.0603|-3.9162|708.0|Cacin (Granada),Spain|2021-06-04T00:00:00|
ES|EXCAB|37.1772|-3.5925|770.0|Granada (Granada),Spain|2008-02-21T00:00:00|
ES|EXCB2|36.997|-1.892|490.0|Carboneras (Almeria),Spain|2025-05-27T00:00:00|
ES|EXCBR|38.0742|-5.4131|426.0|El Cabril - Hornachuelos (Cordoba),Spain|2019-01-03T00:00:00|
ES|EXCH|37.1325|-3.8243|700.0|Chimeneas (Granada),Spain|2010-05-19T00:00:00|
ES|EXCHU|37.1478|-3.6461|656.0|Churriana de la Vega (Granada),Spain|2006-06-01T00:00:00|
ES|EXCSJ|36.9853|-5.9343|71.0|Las Cabezas de San Juan (Sevilla),Spain|2022-05-31T00:00:00|
ES|EXDI|37.0754|-3.6021|850.0|Dilar (Granada),Spain|2002-02-12T00:00:00|
ES|EXED|38.4724|-0.7914|397.0|Elda (Alacant / Alicante),Spain|2025-10-20T00:00:00|
ES|EXEJI|36.7743|-2.8112|109.0|El Ejido (Almeria),Spain|2016-05-02T00:00:00|
